station,month,year,value
Sirifort,Oct,2016,0
Sirifort,Nov,2016,28
Sirifort,Dec,2016,31
Sirifort,Jan,2017,31
Sirifort,Feb,2017,28
Sirifort,Mar,2017,31
Sirifort,Apr,2017,30
Sirifort,May,2017,24
Sirifort,Jun,2017,30
Sirifort,Jul,2017,31
Sirifort,Aug,2017,29
Sirifort,Sep,2017,27
Sirifort,Oct,2017,29
Sirifort,Nov,2017,13
Sirifort,Dec,2017,0
Shadipur,Jan,2011,31
Shadipur,Feb,2011,28
Shadipur,Mar,2011,31
Shadipur,Apr,2011,30
Shadipur,May,2011,31
Shadipur,Jun,2011,27
Shadipur,Jul,2011,31
Shadipur,Aug,2011,31
Shadipur,Sep,2011,30
Shadipur,Oct,2011,31
Shadipur,Nov,2011,30
Shadipur,Dec,2011,31
Shadipur,Jan,2012,31
Shadipur,Feb,2012,27
Shadipur,Mar,2012,30
Shadipur,Apr,2012,24
Shadipur,May,2012,31
Shadipur,Jun,2012,30
Shadipur,Jul,2012,31
Shadipur,Aug,2012,25
Shadipur,Sep,2012,21
Shadipur,Oct,2012,20
Shadipur,Nov,2012,30
Shadipur,Dec,2012,31
Shadipur,Jan,2013,31
Shadipur,Feb,2013,28
Shadipur,Mar,2013,31
Shadipur,Apr,2013,30
Shadipur,May,2013,31
Shadipur,Jun,2013,30
Shadipur,Jul,2013,31
Shadipur,Aug,2013,31
Shadipur,Sep,2013,29
Shadipur,Oct,2013,31
Shadipur,Nov,2013,30
Shadipur,Dec,2013,31
Shadipur,Jan,2014,31
Shadipur,Feb,2014,28
Shadipur,Mar,2014,31
Shadipur,Apr,2014,29
Shadipur,May,2014,31
Shadipur,Jun,2014,28
Shadipur,Jul,2014,30
Shadipur,Aug,2014,30
Shadipur,Sep,2014,30
Shadipur,Oct,2014,31
Shadipur,Nov,2014,30
Shadipur,Dec,2014,31
Shadipur,Jan,2015,31
Shadipur,Feb,2015,28
Shadipur,Mar,2015,31
Shadipur,Apr,2015,30
Shadipur,May,2015,31
Shadipur,Jun,2015,30
Shadipur,Jul,2015,31
Shadipur,Aug,2015,31
Shadipur,Sep,2015,30
Shadipur,Oct,2015,31
Shadipur,Nov,2015,30
Shadipur,Dec,2015,31
Shadipur,Jan,2016,31
Shadipur,Feb,2016,27
Shadipur,Mar,2016,31
Shadipur,Apr,2016,30
Shadipur,May,2016,22
Shadipur,Jun,2016,28
Shadipur,Jul,2016,30
Shadipur,Aug,2016,26
Shadipur,Sep,2016,27
Shadipur,Oct,2016,28
Shadipur,Nov,2016,28
Shadipur,Dec,2016,31
Shadipur,Jan,2017,30
Shadipur,Feb,2017,28
Shadipur,Mar,2017,31
Shadipur,Apr,2017,30
Shadipur,May,2017,31
Shadipur,Jun,2017,30
Shadipur,Jul,2017,31
Shadipur,Aug,2017,31
Shadipur,Sep,2017,30
Shadipur,Oct,2017,31
Shadipur,Nov,2017,15
Shadipur,Dec,2017,0
Dwarka,Jan,2011,31
Dwarka,Feb,2011,28
Dwarka,Mar,2011,31
Dwarka,Apr,2011,30
Dwarka,May,2011,28
Dwarka,Jun,2011,30
Dwarka,Jul,2011,31
Dwarka,Aug,2011,29
Dwarka,Sep,2011,30
Dwarka,Oct,2011,31
Dwarka,Nov,2011,30
Dwarka,Dec,2011,29
Dwarka,Jan,2012,31
Dwarka,Feb,2012,28
Dwarka,Mar,2012,23
Dwarka,Apr,2012,25
Dwarka,May,2012,27
Dwarka,Jun,2012,30
Dwarka,Jul,2012,31
Dwarka,Aug,2012,31
Dwarka,Sep,2012,27
Dwarka,Oct,2012,19
Dwarka,Nov,2012,20
Dwarka,Dec,2012,27
Dwarka,Jan,2013,31
Dwarka,Feb,2013,28
Dwarka,Mar,2013,29
